Osallistujamaat
;oid| maa
1   | Brasilia 
2   | Saksa
3   | Italia 
4   | Argentiina
5   | Ranska 
6   | Uruguay 
7   | Englanti
8   | Espanja
9   | Hollanti
10  | Tsekkoslovakia
11  | Unkari
12  | Ruotsi
13  | Kroatia 
